Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Met_Color,CC,Doors,Weight
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,135258,Diesel,69,1,1900,5,1140
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,113997,Diesel,72,1,2000,5,1135
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,Petrol,110,1,1600,5,1080
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,Petrol,110,1,1600,5,1080
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,90097,Diesel,69,1,1900,5,1140
427, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,Petrol,110,0,1600,5,1075
443, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,77270,Petrol,110,1,1600,4,1035
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,73403,Petrol,110,1,1600,5,1075
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,8695,50,70440,Diesel,69,1,1900,3,1105
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,70239,Petrol,110,0,1600,3,1040
466, TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8750,47,69000,Diesel,69,1,1900,5,1140
467,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,68565,Petrol,110,1,1600,4,1030
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,65471,Petrol,97,1,1400,5,1060
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,65400,Petrol,97,1,1400,3,1025
493, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,47,60348,Petrol,110,0,1600,4,1030
495, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,9799,51,59000,Petrol,97,1,1400,3,1025
496,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,11750,51,58761,Petrol,97,0,1300,5,1060
499, TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11750,54,58530,Petrol,110,0,1600,5,1075
510, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11500,55,54900,Petrol,97,1,1400,5,1060
526, TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,18950,49,49568,Petrol,110,1,1600,3,1105
552, TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,12500,48,68450,Petrol,97,1,1400,3,1030
556, TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,12950,49,41636,Petrol,110,1,1600,5,1105
560,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11950,47,40361,Petrol,110,1,1600,5,1090
562, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11000,47,40000,Petrol,110,0,1600,5,1080
566,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,47,38900,Petrol,97,1,1400,3,1025
571,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,48,36005,Petrol,97,1,1400,5,1065
573,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13000,49,36000,Petrol,110,0,1600,5,1080
575,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,52,35823,Petrol,110,0,1600,5,1075
578,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9980,49,34890,Petrol,97,0,1400,3,1025
583,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,46,33021,Petrol,110,1,1600,5,1080
585,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,52,31579,Petrol,97,0,1400,3,1025
599, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,56,19313,Petrol,97,0,1400,3,1025
603, TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,12950,50,10210,Petrol,97,0,1400,5,1065
606,TOYOTA Corolla 1.4 VVT-i Terra 2/3-Doors,8950,52,31000,Petrol,97,0,1398,3,1025
617,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7950,64,154462,Diesel,72,1,2000,5,1135
619,TOYOTA Corolla 2.0diesel Stationwagen,6250,67,149000,Diesel,90,1,2000,5,1135
623,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,7350,65,140168,Diesel,72,1,2000,3,1115
628,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,7950,67,135337,CNG,110,1,1600,5,1120
629,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,8950,64,133769,Diesel,72,1,2000,3,1120
634,TOYOTA Corolla 2.0D XL Sedan 4/5-Doors,7500,59,130000,Diesel,72,1,2000,4,1135
644,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,9950,68,119541,Petrol,110,0,1600,3,1055
648,TOYOTA Corolla 2.0 DSL WAGON LINEA TERRA Stationwagen,9950,64,118000,Diesel,72,1,2000,5,1150
684,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,7950,61,102106,Petrol,110,0,1600,3,1050
689,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,8950,61,100748,Petrol,110,0,1600,5,1070
690,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,8950,65,100550,Petrol,110,1,1600,5,1075
732,TOYOTA Corolla 1.3 16V LIFTB LINEA LUNA 4/5-Doors,9500,59,86871,Petrol,86,1,1300,5,1040
733,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,8950,68,86714,Petrol,110,1,1600,4,1035
741,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,8750,62,83908,Petrol,110,1,1600,5,1070
753,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8750,66,81083,Petrol,86,0,1300,3,1015
756,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,8450,65,80439,Petrol,110,1,1600,4,1035
762,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,8250,65,80086,Petrol,110,1,1600,4,1035
776,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA AUT4 4/5-Doors,9500,61,78063,Petrol,107,1,1600,5,1100
777,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10950,67,77821,Petrol,110,1,1600,5,1075
782,TOYOTA Corolla 1.3 16V Linea Terra 2/3-Doors,8950,68,77008,Petrol,86,1,1300,3,1015
830,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,6950,58,69022,Petrol,86,1,1300,5,1035
831,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,9650,67,69000,Petrol,110,1,1600,3,1065
832,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,9950,68,68865,Petrol,110,1,1600,3,1065
860,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,68,64950,Petrol,110,1,1600,5,1075
863,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,8750,65,64772,Petrol,110,1,1600,3,1050
865,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,10950,65,64630,Petrol,110,0,1600,5,1070
894,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,7950,60,61100,Petrol,86,1,1300,3,1015
905,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,8950,63,59000,Petrol,110,0,1600,3,1050
916,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA AUT4 2/3-Doors,9450,66,58113,Petrol,107,1,1600,3,1085
917,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,12950,67,58058,Petrol,110,1,1600,3,1065
919,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,10495,62,58000,Petrol,110,1,1600,3,1065
920,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,7950,68,57565,Petrol,86,1,1300,5,1035
923,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9900,62,57179,Petrol,110,1,1600,5,1075
938,TOYOTA Corolla 1.3 Hatchback 2/3-Doors,8950,65,55000,Petrol,86,1,1300,3,1015
946,TOYOTA Corolla 1.6 I lb luna 4/5-Doors,10500,57,54000,Petrol,110,1,1600,5,1075
957,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,9250,66,52383,Petrol,86,0,1300,3,1015
960,TOYOTA Corolla 1.6 Linea Luna Aut. 4/5-Doors,10950,58,51421,Petrol,110,0,1600,5,1105
967,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,62,50000,Petrol,110,1,1600,5,1075
972,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9950,61,49000,Petrol,110,0,1600,3,1050
979,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,10450,60,47060,Petrol,110,0,1600,4,1035
988,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,7950,66,45000,Petrol,86,1,1300,5,1035
1014,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,8900,59,36954,Petrol,110,1,1600,3,1050
1026,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,7900,68,33847,Petrol,86,1,1300,4,1000
1043,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9245,66,22835,Petrol,110,1,1600,3,1050
1050,TOYOTA Corolla 2.0 DSL WAGON LINEA TERRA Stationwagen,6950,79,218118,Diesel,72,0,2000,5,1150
1064,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,8500,77,170000,Diesel,72,0,2000,4,1100
1075,TOYOTA Corolla 2.0 DSL LIFTB LINEA LUNA 4/5-Doors,7450,76,154900,Diesel,72,1,2000,5,1140
1096,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9250,80,128351,Petrol,110,1,1600,5,1070
1107,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,6450,72,123403,Petrol,110,1,1600,3,1050
1108,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,6650,75,123104,Petrol,110,1,1600,5,1070
1125,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,7450,74,112307,Petrol,110,1,1600,5,1070
1140,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,7750,72,106108,Petrol,110,1,1600,3,1050
1148,TOYOTA Corolla 1.3 Linea Terra 3 drs 2/3-Doors,7950,80,102300,Petrol,86,1,1300,3,1015
1173,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,6495,74,96302,Petrol,86,1,1300,3,1015
1183,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,7200,79,93090,Petrol,86,1,1300,5,1035
1204,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,8950,76,89520,Petrol,110,1,1600,3,1050
1223,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8500,70,85864,Diesel,72,1,2000,5,1135
1238,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,6750,76,83405,Petrol,110,1,1600,5,1070
1241,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors,8950,71,83047,Petrol,86,1,1300,3,1045
1249,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,7495,79,81988,Petrol,110,1,1600,5,1070
1268,TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,9500,77,75799,Petrol,110,1,1600,3,1050
1320,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,5950,74,68285,Petrol,110,1,1600,3,1050
1328,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,7250,80,66880,Petrol,110,1,1600,3,1055
1372,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA AUT3 4/5-Doors,7950,75,58341,Petrol,86,1,1300,4,1030
1380,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,7950,75,57144,Petrol,110,1,1600,5,1070
1381,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,8600,69,57096,Petrol,86,1,1300,3,1025
1398,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,8950,70,51874,Petrol,86,0,1300,4,1000
1410,TOYOTA Corolla 1.3 16V HATCHB 2/3-Doors,7000,73,47360,Petrol,86,0,1300,3,1010
1422,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,6950,72,42000,Petrol,110,1,1600,3,1050
1433,TOYOTA Corolla 1.6 Lin.Terra Aut. 2/3-Doors,9950,78,30964,Petrol,110,0,1600,3,1080
